row,date,City,Amount
267,20120624,San Francisco,55.8
268,20120625,San Francisco,56.8
269,20120626,San Francisco,57.5
270,20120627,San Francisco,57.7
271,20120628,San Francisco,56.6
272,20120629,San Francisco,56.4
273,20120630,San Francisco,58.4
274,20120701,San Francisco,58.8
275,20120702,San Francisco,56.4
276,20120703,San Francisco,56.5
277,20120704,San Francisco,55.8
278,20120705,San Francisco,54.8
279,20120706,San Francisco,54.9
280,20120707,San Francisco,54.7
281,20120708,San Francisco,52.8
282,20120709,San Francisco,53.7
283,20120710,San Francisco,53.1
284,20120711,San Francisco,52.7
285,20120712,San Francisco,52.0
286,20120713,San Francisco,53.4
287,20120714,San Francisco,54.0
288,20120715,San Francisco,54.0
289,20120716,San Francisco,54.5
290,20120717,San Francisco,56.7
291,20120718,San Francisco,57.5
292,20120719,San Francisco,57.1
293,20120720,San Francisco,58.1
294,20120721,San Francisco,57.6
295,20120722,San Francisco,56.0
296,20120723,San Francisco,56.6
297,20120724,San Francisco,57.8
298,20120725,San Francisco,57.5
299,20120726,San Francisco,56.4
300,20120727,San Francisco,55.3
301,20120728,San Francisco,55.0
302,20120729,San Francisco,55.6
303,20120730,San Francisco,55.6
304,20120731,San Francisco,55.9
305,20120801,San Francisco,55.4
306,20120802,San Francisco,54.4
307,20120803,San Francisco,53.7
308,20120804,San Francisco,54.1
309,20120805,San Francisco,57.8
310,20120806,San Francisco,58.2
311,20120807,San Francisco,58.0
312,20120808,San Francisco,57.0
313,20120809,San Francisco,55.0
314,20120810,San Francisco,54.8
315,20120811,San Francisco,53.0
316,20120812,San Francisco,52.5
317,20120813,San Francisco,53.3
318,20120814,San Francisco,53.9
319,20120815,San Francisco,56.2
320,20120816,San Francisco,57.1
321,20120817,San Francisco,55.3
322,20120818,San Francisco,56.2
323,20120819,San Francisco,54.3
324,20120820,San Francisco,53.1
325,20120821,San Francisco,53.4
326,20120822,San Francisco,54.5
327,20120823,San Francisco,55.7
328,20120824,San Francisco,54.8
329,20120825,San Francisco,53.8
330,20120826,San Francisco,56.5
331,20120827,San Francisco,58.3
332,20120828,San Francisco,58.7
333,20120829,San Francisco,57.5
334,20120830,San Francisco,55.9
335,20120831,San Francisco,55.4
336,20120901,San Francisco,55.7
337,20120902,San Francisco,53.1
338,20120903,San Francisco,53.5
339,20120904,San Francisco,52.5
340,20120905,San Francisco,54.5
341,20120906,San Francisco,56.3
342,20120907,San Francisco,56.4
343,20120908,San Francisco,56.5
344,20120909,San Francisco,56.4
345,20120910,San Francisco,55.4
346,20120911,San Francisco,56.2
347,20120912,San Francisco,55.7
348,20120913,San Francisco,54.3
349,20120914,San Francisco,55.2
350,20120915,San Francisco,54.3
351,20120916,San Francisco,52.9
352,20120917,San Francisco,54.8
353,20120918,San Francisco,54.8
354,20120919,San Francisco,56.8
355,20120920,San Francisco,55.4
356,20120921,San Francisco,55.8
357,20120922,San Francisco,55.9
358,20120923,San Francisco,52.8
359,20120924,San Francisco,54.5
360,20120925,San Francisco,53.3
361,20120926,San Francisco,53.6
362,20120927,San Francisco,52.1
363,20120928,San Francisco,52.6
364,20120929,San Francisco,53.9
365,20120930,San Francisco,55.1
366,20111001,New York City,63.4
